drug,label,organization,name,update_date,gene,data_source
brexpiprazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for brexpiprazole and CYP2D6,,CYP2D6,drug_label
capecitabine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for capecitabine and DPYD,,DPYD,drug_label
carbamazepine,Testing required,Swissmedic,Annotation of Swissmedic Label for carbamazepine and HLA-B,,HLA-B,drug_label
carbasalate calcium,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for carbasalate calcium and G6PD,,G6PD,drug_label
ciprofloxacin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for ciprofloxacin and G6PD,,G6PD,drug_label
clomipramine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for clomipramine and CYP2D6,,CYP2D6,drug_label
codeine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for codeine and CYP2D6,,CYP2D6,drug_label
dexlansoprazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for dexlansoprazole and CYP2C19,,CYP2C19,drug_label
dextromethorphan,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for dextromethorphan and CYP2D6,,CYP2D6,drug_label
dolutegravir,Testing required,Swissmedic,Annotation of Swissmedic Label for dolutegravir / abacavir / lamivudine and HLA-B,,HLA-B,drug_label
abacavir,Testing required,Swissmedic,Annotation of Swissmedic Label for dolutegravir / abacavir / lamivudine and HLA-B,,HLA-B,drug_label
lamivudine,Testing required,Swissmedic,Annotation of Swissmedic Label for dolutegravir / abacavir / lamivudine and HLA-B,,HLA-B,drug_label
duloxetine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for duloxetine and CYP2D6,,CYP2D6,drug_label
flucytosine,Testing recommended,Swissmedic,Annotation of Swissmedic Label for flucytosine and DPYD,,DPYD,drug_label
amlodipine,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for amlodipine / atorvastatin / perindopril arginine and G6PD, SLCO1B1",,G6PD,drug_label
amlodipine,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for amlodipine / atorvastatin / perindopril arginine and G6PD, SLCO1B1",,SLCO1B1,drug_label
atorvastatin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for amlodipine / atorvastatin / perindopril arginine and G6PD, SLCO1B1",,G6PD,drug_label
atorvastatin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for amlodipine / atorvastatin / perindopril arginine and G6PD, SLCO1B1",,SLCO1B1,drug_label
perindopril arginine,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for amlodipine / atorvastatin / perindopril arginine and G6PD, SLCO1B1",,G6PD,drug_label
perindopril arginine,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for amlodipine / atorvastatin / perindopril arginine and G6PD, SLCO1B1",,SLCO1B1,drug_label
fluorouracil,Testing required,Swissmedic,Annotation of Swissmedic Label for fluorouracil and DPYD,,DPYD,drug_label
fluoxetine,Informative PGx,Swissmedic,Annotation of Swissmedic Label for fluoxetine and CYP2D6,,CYP2D6,drug_label
hydroxychloroquine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for hydroxychloroquine and G6PD,,G6PD,drug_label
moclobemide,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for moclobemide and CYP2C19,,CYP2C19,drug_label
nebivolol,Informative PGx,Swissmedic,Annotation of Swissmedic Label for nebivolol and CYP2D6,,CYP2D6,drug_label
ofloxacin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for ofloxacin and G6PD,,G6PD,drug_label
oxcarbazepine,Testing required,Swissmedic,Annotation of Swissmedic Label for oxcarbazepine and HLA-B,,HLA-B,drug_label
palonosetron,Informative PGx,Swissmedic,Annotation of Swissmedic Label for palonosetron and CYP2D6,,CYP2D6,drug_label
pazopanib,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for pazopanib and HLA-B,,HLA-B,drug_label
propafenone,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for propafenone and CYP2D6,,CYP2D6,drug_label
quinine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for quinine and G6PD,,G6PD,drug_label
rasburicase,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for rasburicase and G6PD,,G6PD,drug_label
losartan,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for losartan and CYP2C9, CYP3A4",,CYP2C9,drug_label
losartan,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for losartan and CYP2C9, CYP3A4",,CYP3A4,drug_label
sulfamethoxazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for sulfamethoxazole / trimethoprim and G6PD,,G6PD,drug_label
trimethoprim,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for sulfamethoxazole / trimethoprim and G6PD,,G6PD,drug_label
thioguanine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for thioguanine and TPMT,,TPMT,drug_label
oxymetazoline,Actionable PGx,FDA,"Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD",2019-10-24,BCHE,drug_label
oxymetazoline,Actionable PGx,FDA,"Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD",2019-10-24,CYB5R3,drug_label
oxymetazoline,Actionable PGx,FDA,"Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD",2019-10-24,G6PD,drug_label
tetracaine,Actionable PGx,FDA,"Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD",2019-10-24,BCHE,drug_label
tetracaine,Actionable PGx,FDA,"Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD",2019-10-24,CYB5R3,drug_label
tetracaine,Actionable PGx,FDA,"Annotation of FDA Label for oxymetazoline and tetracaine and BCHE, CYB5R3, G6PD",2019-10-24,G6PD,drug_label
carglumic acid,Testing required,HCSC,Annotation of HCSC Label for carglumic acid and NAGS,,NAGS,drug_label
ceritinib,Testing required,HCSC,Annotation of HCSC Label for ceritinib and ALK,,ALK,drug_label
brivaracetam,Actionable PGx,FDA,Annotation of FDA Label for brivaracetam and CYP2C19,2017-11-09,CYP2C19,drug_label
ponatinib,Testing required,HCSC,"Annotation of HCSC Label for ponatinib and ABI1, BCR",,ABI1,drug_label
ponatinib,Testing required,HCSC,"Annotation of HCSC Label for ponatinib and ABI1, BCR",,BCR,drug_label
neratinib,Informative PGx,FDA,"Annotation of FDA Label for neratinib and ESR1, ESR2, PGR",,ESR1,drug_label
neratinib,Informative PGx,FDA,"Annotation of FDA Label for neratinib and ESR1, ESR2, PGR",,ESR2,drug_label
neratinib,Informative PGx,FDA,"Annotation of FDA Label for neratinib and ESR1, ESR2, PGR",,PGR,drug_label
daclatasvir,Informative PGx,FDA,Annotation of FDA Label for daclatasvir and IFNL3,,IFNL3,drug_label
evolocumab,Informative PGx,FDA,Annotation of FDA Label for evolocumab and LDLR,2017-11-08,LDLR,drug_label
Parathyroid Hormones And Analogues,Informative PGx,FDA,Annotation of FDA Label for Parathyroid Hormones And Analogues and CASR,,CASR,drug_label
vemurafenib,Testing required,EMA,Annotation of EMA Label for vemurafenib and BRAF,2013-12-05,BRAF,drug_label
metoclopramide,Actionable PGx,FDA,"Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",2019-10-17,CYB5R1,drug_label
metoclopramide,Actionable PGx,FDA,"Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",2019-10-17,CYB5R2,drug_label
metoclopramide,Actionable PGx,FDA,"Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",2019-10-17,CYB5R3,drug_label
metoclopramide,Actionable PGx,FDA,"Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",2019-10-17,CYB5R4,drug_label
metoclopramide,Actionable PGx,FDA,"Annotation of FDA Label for metoclopramide and CYB5R1, CYB5R2, CYB5R3, CYB5R4, G6PD",2019-10-17,G6PD,drug_label
alirocumab,Informative PGx,FDA,Annotation of FDA Label for alirocumab and LDLR,2017-11-08,LDLR,drug_label
ondansetron,Informative PGx,FDA,Annotation of FDA Label for ondansetron and CYP2D6,,CYP2D6,drug_label
amifampridine phosphate,Actionable PGx,EMA,Annotation of EMA Label for amifampridine phosphate and NAT2,,NAT2,drug_label
encorafenib,Testing required,EMA,Annotation of EMA Label for encorafenib and BRAF,,BRAF,drug_label
irinotecan,Actionable PGx,EMA,Annotation of EMA Label for irinotecan and UGT1A1,,UGT1A1,drug_label
lesinurad,Actionable PGx,EMA,Annotation of EMA Label for lesinurad and CYP2C9,,CYP2C9,drug_label
tolazamide,Actionable PGx,FDA,Annotation of FDA Label for tolazamide and G6PD,,G6PD,drug_label
Opium derivatives,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for Opium derivatives and expectorants and CYP2D6,,CYP2D6,drug_label
expectorants,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for Opium derivatives and expectorants and CYP2D6,,CYP2D6,drug_label
goserelin,Informative PGx,FDA,"Annotation of FDA Label for goserelin and ESR1, ESR2, PGR",2019-05-16,ESR1,drug_label
goserelin,Informative PGx,FDA,"Annotation of FDA Label for goserelin and ESR1, ESR2, PGR",2019-05-16,ESR2,drug_label
goserelin,Informative PGx,FDA,"Annotation of FDA Label for goserelin and ESR1, ESR2, PGR",2019-05-16,PGR,drug_label
bisoprolol fumarate,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for bisoprolol fumarate / perindopril arginine and G6PD,,G6PD,drug_label
